title,link,author,pubDate,description,text
"['', 'covid-19 Maroc nouveau contamination heure décès 2.618 cas actif']",https://fr.le360.ma/societe/covid-19-au-maroc-218-nouvelles-contaminations-en-24-heures-4-deces-et-2618-cas-actifs-264816,cette colonne est vide,"['fri', 'aug 12:18:07 +0100']","['', 'décès nouveau cas contamination guériser être confirmer Royaume août', 'cas actif s&039;élèvent 2.618 6,7 million personne reçu dose suivre pandémie chiffre']",cette colonne est vide
"['', 'Mazraoui Mané Neuer découvrir salaire joueur Bayern']",https://fr.le360.ma/sports/mazraoui-mane-neuer-decouvrez-les-salaires-des-joueurs-du-bayern-264835,cette colonne est vide,"['fri', 'aug 16:36:09', '+0100']","['', 'terme salair noussair', 'Mazraoui', 'n ’ bien lotir Bayern Munich latéral droit loin Top Bavarois formé Mané Neuer Müller']",cette colonne est vide
"['', ""Gaspillages d ' eau casablanca sanctionn""]",https://fr.le360.ma/societe/gaspillages-deau-a-casablanca-qui-sanctionne-et-comment-264817,cette colonne est vide,"['fri', 'aug 12:30:05', '+0100']","['', 'conseil ville Casablanca décider d&039;appliquer mesure dissuasiver pousser Marocains rationaliser l&039;usage l&039;eau robinet gaspillage l&039;eau ressource raréfier passible sanction dispositif mettre œuvre']",cette colonne est vide
"['', 'plf qu ’ falloir retenir note cadrage Aziz Akhannouch Document']",https://fr.le360.ma/politique/plf-2023-ce-quil-faut-retenir-de-la-note-de-cadrage-de-aziz-akhannouch-document-264824,cette colonne est vide,"['fri', 'aug 14:32:59', '+0100']","['', 'Diffusée vendredi août', 'auprès membre gouvernement note cadrage projet loi finance plf le360 détient copie fixe grand orientation département ministériel appeler l ’ élaboration budget l ’ année']",cette colonne est vide
"['', 'accord sénégal Rebelles Casamance important paix médiateur']",https://fr.le360.ma/monde/accord-senegal-rebelles-de-casamance-un-pas-important-vers-la-paix-selon-le-mediateur-264829,cette colonne est vide,"['fri', 'aug 15:24:11', '+0100']","['', 'signature d&039;un accord paix l&039;etat sénégalais rebelle casamance jeudi Guinée Bissau voisin important fin conflit dur bientôt an région sud sénégal affirmer vendredi médiateur']",cette colonne est vide
"['', 'Mercato', 'Adel Taarabt cherch club', 'désespérémer']",https://fr.le360.ma/sports/mercato-adel-taarabt-cherche-club-desesperement-264832,cette colonne est vide,"['fri', 'aug 16:02:37', '+0100']","['', 'Sommé Benfica Lisbonne', 'chercher club mercato estival', 'Adel Taaarabt peine trouver nouveau employeur Lion l&039;atlas l&039;attente d&039;un', 'offre convenable']",cette colonne est vide
"['', 'Forbes Afrique Africains an influent anner']",https://fr.le360.ma/monde/forbes-afrique-voici-les-30-africains-de-moins-de-30-ans-les-plus-influents-de-cette-annee-264826,cette colonne est vide,"['fri', 'aug 14:45:26', '+0100']","['', 'pays ouest-africain domin l&039;édition classemer Africains an Forbes Afrique Découvrez classemer complet']",cette colonne est vide
"['', 'classement', 'Agadir', 'destination all inclusif cher mond touriste britannique']",https://fr.le360.ma/lifestyle/classement-agadir-destination-all-inclusive-la-moins-chere-au-monde-pour-les-touristes-britanniques-264812,cette colonne est vide,"['fri', 'aug', '11:38:45 +0100']","['', 'étude réaliser Savoo filiale britannique leader mondial coupon réduction offre lign ville d ’ agadir culmine sommet classemer destinatier all inclusif attractif Britanniques']",cette colonne est vide
"['', ""Achraf Bencharki Al Jazira c '"", '']",https://fr.le360.ma/sports/achraf-bencharki-a-al-jazira-cest-fait-264827,cette colonne est vide,"['fri', 'aug 15:09:50', '+0100']","['annoncer club Émirats Arabes Unis d&039;arabie saoudite Achraf Bencharki', 'finalement signer club émirati d&039;al Jazira']",cette colonne est vide
"['', 'Algérie junt poursuivre show surréaliste honorer général retraire Khaled Nezzar Toufik']",https://fr.le360.ma/monde/algerie-la-junte-poursuit-son-show-surrealiste-en-honorant-les-generaux-a-la-retraite-khaled-nezzar-264819,cette colonne est vide,"['fri', 'aug', '13:15:46', '+0100']","['président Tebboune honoré général retraire Khaled Nezzar Mohamed Mediène Toufik architecte carnage décennie noir cible manifestant Hirak', 'proclamation toute-puissanc clan naguère décimé Ahmed Gaïd Salah ouvrir voie']",cette colonne est vide
"['', 'Mercato Raja', 'ravi voir Benoun Qatar']",https://fr.le360.ma/sports/mercato-au-raja-aussi-on-est-ravi-de-voir-benoun-au-qatar-264823,cette colonne est vide,"['fri', 'aug 14:17:15', '+0100']","['', 'Raja Casablanca devoir recevoir taux transfert Badr Benoun d&039;al Ahly Qatar SC club conclure intérêt revent']",cette colonne est vide
"['', 'Chronique vahid', 'Halilhodzic falloir sortir brouillard']",https://fr.le360.ma/sports/chronique-vahid-halilhodzic-faut-sortir-du-brouillard-264820,cette colonne est vide,"['fri', 'aug 13:36:16', '+0100']","['', 'dirigeant fédération royal marocain football frmf choix cornélien virer soutenir sélectionneur national vahid', 'Halilhodzic']",cette colonne est vide
"['', 'groupe Akdital décroch premier certification ISO']",https://fr.le360.ma/entreprise/le-groupe-akdital-decroche-ses-premieres-certifications-iso-9001-2015-264807,cette colonne est vide,"['fri', 'aug 10:36:41', '+0100']","['', 'acteur majeur santé priver Maroc groupe Akdital objectif développer réseau d ’ établissement santé travers Royaume permettre d ’ offrir soin qualité pris charge global meilleur standard international']",cette colonne est vide
"['', 'promotion mutatier', 'sanction', 'dernier décision conseil supérieur pouvoir judiciaire']",https://fr.le360.ma/societe/promotions-mutations-sanctions-les-dernieres-decisions-du-conseil-superieur-du-pouvoir-judiciaire-264813,cette colonne est vide,"['fri', 'aug 11:46:32 +0100']","['', 'conseil supérieur pouvoir judiciaire venir faire point décisier prendre suite clôtur session normal tenir cadre mandat promotion réaffectation mesure disciplinaire l ’ essentiel']",cette colonne est vide
"['', 'femme accéder pleinement droit porter aucun préjudice homme', 'Majesté', 'roi']",https://fr.le360.ma/blog/franchement/quand-les-femmes-accedent-pleinement-a-leurs-droits-elles-ne-portent-aucun-prejudice-aux-hommes-sa-264800,cette colonne est vide,"['fri', 'aug 06:23:05', '+0100']","['', 'partie discours royal être réserver femme nécessiter qu ’ apporte plein concours domaine oui Majesté c ’ acquérir renforcer jour jour']",cette colonne est vide
"['', 'bon nouveau Lions Imran Louza l ’', 'entraînement']",https://fr.le360.ma/sports/bonne-nouvelle-pour-les-lions-imran-louza-de-retour-a-lentrainement-264815,cette colonne est vide,"['fri', 'aug', '11:57:34', '+0100']","['', 'bon nouveau l ’ approche coupe Monde Imran Louza remettre blessur genou reprendre l ’ entraînement collectif club Watford']",cette colonne est vide
"['', 'Vague chaleur Maroc Casablancais étouffer pensent', '']",https://fr.le360.ma/societe/vague-de-chaleur-au-maroc-les-casablancais-etouffent-mais-pensent-surtout-aux-autres-264764,cette colonne est vide,"['Thu', 'aug 12:41:05', '+0100']","['', 'canicule s ’ installe Maroc chaleur persist régier Royaume mercure atteindre pic aller jusqu&039;à degré c', 'Casaouis n&039;échappent fournais pensent habitant ville situer l&039;intérieur pays']",cette colonne est vide
"['', 'Maroc Burkina Faso coopération africainemer authentique']",https://fr.le360.ma/politique/entre-le-maroc-et-le-burkina-faso-une-cooperation-africainement-authentique-264809,cette colonne est vide,"['fri', 'aug 10:51:22 +0100']","['', 'ministre burkinabè Albert Ouédraogo recevoir audience jeudi août l ’ ambassadeur Royaume Maroc Burkina Faso Youssef Slaoui']",cette colonne est vide
"['', 'but record youssef El Arabi']",https://fr.le360.ma/sports/un-but-et-des-records-pour-youssef-el-arabi-264808,cette colonne est vide,"['fri', 'aug 10:38:42', '+0100']","['', 'Youssef El', 'Arabi buteur', 'hier soir Olympiakos atteindre record l ’ ancien Grenade CF égaler Marouane Chamakh Mouhcine Iajour']",cette colonne est vide
"['', 'politologue Zakaria', ""abouddahab Maroc l ' algérie permettr lux division""]",https://fr.le360.ma/politique/le-politologue-zakaria-abouddahab-pourquoi-le-maroc-et-lalgerie-ne-peuvent-plus-se-permettre-le-luxe-264786,cette colonne est vide,"['Thu', 'aug 20:46:00', '+0100']","['', 'suite nouveau main tendre roi Mohammed vi l ’ algérie politologu renom', 'Zakaria', 'abouddahab estimer entretien le360 pays rester marge processu d ’ intégration niveal régional mondial']",cette colonne est vide
"['', 'classemer FIFA', 'lionner l ’', 'Atlas gagnent place']",https://fr.le360.ma/sports/classement-fifa-les-lionnes-de-latlas-gagnent-une-place-264806,cette colonne est vide,"['fri', 'aug 09:39:03 +0100']","['', 'lionner l ’', 'Atlas finaliste coupe d ’ Afrique Nations féminin Maroc grimper classemer fifa']",cette colonne est vide
"['', 'festival national film Tanger Driss', 'Anouar présider jury vingt-deuxièm édition']",https://fr.le360.ma/culture/festival-national-du-film-de-tanger-driss-anouar-presidera-le-jury-de-la-vingt-deuxieme-edition-264696,cette colonne est vide,"['Wed', 'aug 11:03:29 +0100']","['', 'centre Cinématographique Marocain CCM venir révéler l&039;identité membre jury 22e édition festival national film FNF prévoir Tanger septembre prochain']",cette colonne est vide
"['', 'l ’ espérance vi Afrique augmenter an période l ’ OMS']",https://fr.le360.ma/monde/lesperance-de-vie-en-afrique-a-augmente-de-10-ans-durant-la-periode-2000-2019-selon-loms-264805,cette colonne est vide,"['fri', 'aug', '09:19:39', '+0100']","['', 'l ’ organisation mondial santé om l ’ espérance vi Afrique fortement augmenter cours dernier décennie fort augmentation mond', 'progrès réaliser domain santé expliquer grandement amélioration']",cette colonne est vide
"['', ""pape François roi Mohammed VI demande haut d ' aider marocain demeurer artisans paix""]",https://fr.le360.ma/politique/le-pape-francois-au-roi-mohammed-vi-je-demande-au-tres-haut-daider-les-marocains-a-demeurer-des-264804,cette colonne est vide,"['fri', 'aug', '08:09:17', '+0100']","['', 'roi Mohammed vi recevoir message félicitation pape François l ’ occasion 23e anniversaire accession trône']",cette colonne est vide
"['', 'Russie Turquie', 'Erdogan', 'Poutine', ""sonder l ' ukraine Syrie""]",https://fr.le360.ma/monde/russie-turquie-erdogan-chez-poutine-pour-le-sonder-sur-lukraine-et-la-syrie-264803,cette colonne est vide,"['fri', 'aug 07:38:38', '+0100']","['', 'fin guerre ukraine peut-être début d&039;un syrie dominer nouveau rencontre vendredi août Russie vladimir Poutine homologue turc Recep Tayyip Erdogan']",cette colonne est vide
"['', 'Raja Wydad convoité Yassine Labhiri choix']",https://fr.le360.ma/sports/entre-le-raja-et-le-wydad-le-tres-convoite-yassine-labhiri-a-fait-son-choix-264802,cette colonne est vide,"['fri', 'aug 07:14:28', '+0100']","['', 'annoncer Wydad Raja mercato d&039;été Yassine Labhiri joueur mco', 'finalement opter Rouges concession fait Said Naciri patron champion d&039;afriqu']",cette colonne est vide
"['', ""nouveau chargement céréale quitter l ' ukraine""]",https://fr.le360.ma/monde/trois-nouveaux-chargements-de-cereales-ont-quitte-lukraine-264801,cette colonne est vide,"['fri', 'aug 07:12:28', '+0100']","['', 'nouveau chargement céréale quitter l&039;ukraine convoi vendredi matin août entamer séri rotation régulier ravitailler marché agricole grâce l&039;accord international signer juillet annoncer ministère turc défense']",cette colonne est vide
"['', 'météo Maximales léger hauss quasi-stationnaire chaleur persistante saison vendredi août']",https://fr.le360.ma/societe/meteo-maximales-en-legere-hausse-ou-quasi-stationnaires-chaleur-persistante-et-de-saison-ce-vendredi-264799,cette colonne est vide,"['fri', 'aug', '06:03:54', '+0100']","['', 'prévision météorologique prévue direction général météorologie journer vendredi août', '']",cette colonne est vide
"['', 'corruption Casablanca magistrat justice']",https://fr.le360.ma/societe/corruption-a-casablanca-quatre-magistrats-devant-la-justice-264797,cette colonne est vide,"['Thu', 'aug 23:01:45 +0100']","['', 'kiosque360', 'l ’ affaire magistrat suspecté corruption continue défrayer chronique', 'juge occuper poste président d ’ chambre cour d ’ appel casablanca être inculper article revue presse quotidien Assabah al Akhbar']",cette colonne est vide
"['', 'non-exécution décisier justice milliard échapper Habous']",https://fr.le360.ma/politique/non-execution-des-decisions-de-justice-ces-milliards-qui-echappent-aux-habous-264796,cette colonne est vide,"['Thu', 'aug 22:46:14', '+0100']","['', 'kiosque360', 'ministre affaire islamique Ahmed Toufik saisir homologue Justice voir d ’ meilleur exécution décisier tribunal faveur Habous', 'décision souffrance perdre d ’ énorme entrer financier dernier département rapporte', 'assabah']",cette colonne est vide
"['', 'abdellatif hammouchi recevoir chef police israélien Yaakov Shabtai']",https://fr.le360.ma/politique/abdellatif-hammouchi-recoit-le-chef-de-la-police-israelienne-yaakov-shabtai-264794,cette colonne est vide,"['Thu', 'aug 22:39:41 +0100']","['', 'directeur général Sûreté national surveillance territoir', 'abdellatif hammouchi recevoir mardi août rabat commissaire général police israélien Yaakov Shabtai indique communiquer direction général sûreter national dgsn']",cette colonne est vide
"['', 'Ben', 'Malango Raja', 'vrai faux']",https://fr.le360.ma/sports/ben-malango-de-retour-au-raja-le-vrai-du-faux-264795,cette colonne est vide,"['Thu', 'aug 22:44:10 +0100']","['', 'Faustino', 'mukandila représentant Ben Malango s ’ exprime sujet rumeur lient protéger Raja Casablanca jeudi tweet']",cette colonne est vide
"['', 'exportation phosphate battent record']",https://fr.le360.ma/economie/les-exportations-en-phosphates-battent-tous-les-records-264793,cette colonne est vide,"['Thu', 'aug', '22:25:53 +0100']","['', 'kiosque360', 'vente phosphate dériver bien comporter semestre augmenter 84,3 atteindre 57,46 milliard dh fin juin l ’ office change article revue press tirer quotidien l ’ Economiste']",cette colonne est vide
"['', 'prix produire alimentaire continuer hauss']",https://fr.le360.ma/economie/les-prix-des-produits-alimentaires-continuent-leur-hausse-264792,cette colonne est vide,"['Thu', 'aug 22:16:58', '+0100']","['', 'kiosque360', 'prix produire alimentaire continue d ’ tirer hauss multitude facteur cause renchérissement prix production article revue press tirer quotidien l&039;economist']",cette colonne est vide
"['UFC', 'Conor', 'mcgregor', 'faire premier cinéma']",https://fr.le360.ma/sports/ufc-conor-mcgregor-va-faire-ses-premiers-pas-au-cinema-264791,cette colonne est vide,"['Thu', 'aug 22:12:58 +0100']","['', 'Célèbre', 'vedette l&039;ufc combattre irlandais', 'Conor mcgregor passer l&039;ambiance cage monde art venir décrocher rôle principal production gros budget']",cette colonne est vide
